id,group,lighting,query,description
stock_city_night_001,places,dark,"city at night","city skyline at night with glowing lights and traffic"
stock_coffee_morning_002,people,light,"coffee morning","pouring coffee in soft morning light, cozy and calm"
stock_typing_laptop_003,people,dark,"person typing laptop","close-up of hands typing on a laptop, focused"
stock_sunrise_004,nature,light,"sunrise timelapse","golden sunrise over a quiet horizon, hopeful"
stock_rain_window_005,nature,dark,"rain on window","raindrops running down a window, moody and reflective"
stock_forest_walk_006,nature,light,"forest path","walking down a sunlit forest path, peaceful"
stock_ocean_waves_007,nature,light,"ocean waves","slow ocean waves rolling onto a calm beach"
stock_busy_street_008,places,light,"busy street","busy city street with people walking, motion blur"
stock_desk_workspace_009,places,dark,"desk workspace","tidy desk workspace with warm lamp light, minimal"
stock_road_driving_010,places,light,"road driving","empty road stretching forward, sense of journey"
stock_mountains_011,nature,light,"mountain landscape","wide mountain landscape under open sky, expansive"
stock_reading_book_012,people,light,"reading book","person reading a book by a window, quiet focus"
